iter	RMSE
0	526730.6144
1	500098.6015
2	481378.9581
3	457912.0891
4	431894.4391
5	409432.8752
6	389829.6717
7	371774.0526
8	355711.3519
9	340215.7598
10	329022.6507
11	318543.3411
12	306666.0555
13	296611.1415
14	285449.3668
15	277411.8289
16	271624.1977
17	264710.3
18	259008.4461
19	251257.7806
20	244930.3237
21	242927.1378
22	236904.675
23	232066.1029
24	229621.2351
25	226027.9545
26	221005.1147
27	214840.7862
28	210244.8639
29	206562.6582
30	204746.9046
31	199761.2884
32	196740.0331
33	192013.7919
34	189266.3159
35	185890.4546
36	182553.812
37	180390.2957
38	177459.2839
39	174822.7065
40	173596.6839
41	172036.8946
42	169602.788
43	167976.7289
44	165947.9752
45	163725.8533
46	162408.0645
47	159981.5926
48	158855.9591
49	156777.335
50	155966.7113
51	154355.58
52	152726.285
53	150517.8032
54	148289.7966
55	146256.7275
56	145168.6751
57	144995.3485
58	143250.9421
59	141163.8148
60	139727.1303
61	138720.3972
62	137533.0916
63	136072.8864
64	134970.9727
65	133065.6762
66	131398.3967
67	130228.782
68	129282.5591
69	128274.6356
70	127345.0823
71	126427.5406
72	125910.1912
73	125116.7627
74	124411.4127
75	123830.2445
76	122473.2109
77	121468.7263
78	120259.3869
79	119512.8851
80	118890.4308
81	117989.8784
82	117512.9532
83	116734.8451
84	115951.1901
85	115053.1396
86	114373.3873
87	113301.3824
88	112286.3304
89	111322.1345
90	110851.812
91	110281.2782
92	109789.4709
93	109370.377
94	108638.6503
95	108069.2036
96	107153.1375
97	106380.3214
98	105770.1232
99	105147.1261
