iter	Passed	Remaining
0	141	14014
1	160	7877
2	178	5779
3	196	4722
4	213	4064
5	231	3626
6	248	3301
7	265	3058
8	284	2872
9	301	2709
10	318	2577
11	335	2461
12	353	2365
13	370	2277
14	389	2206
15	408	2143
16	426	2082
17	443	2021
18	461	1966
19	478	1915
20	497	1871
21	500	1773
22	518	1737
23	538	1704
24	556	1668
25	573	1633
26	593	1604
27	611	1572
28	629	1541
29	647	1511
30	667	1484
31	684	1454
32	701	1424
33	719	1395
34	736	1367
35	754	1340
36	772	1315
37	792	1293
38	810	1267
39	828	1242
40	845	1217
41	862	1191
42	880	1166
43	897	1142
44	914	1118
45	932	1095
46	950	1071
47	968	1048
48	985	1026
49	1002	1002
50	1020	980
51	1038	958
52	1055	936
53	1073	914
54	1090	892
55	1107	870
56	1124	848
57	1126	815
58	1144	795
59	1163	775
60	1180	754
61	1198	734
62	1219	715
63	1237	696
64	1255	676
65	1273	656
66	1290	635
67	1309	616
68	1319	592
69	1336	572
70	1354	553
71	1373	534
72	1391	514
73	1409	495
74	1427	475
75	1445	456
76	1462	436
77	1480	417
78	1498	398
79	1515	378
80	1532	359
81	1549	340
82	1568	321
83	1586	302
84	1606	283
85	1623	264
86	1640	245
87	1658	226
88	1676	207
89	1693	188
90	1710	169
91	1728	150
92	1745	131
93	1764	112
94	1781	93
95	1799	74
96	1817	56
97	1838	37
98	1856	18
99	1874	0
