Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,"16,43,691",0,42,2.6,211.1,8.11
1,12-02-2010,"16,41,957",1,39,2.5,211.24,8.11
1,19-02-2010,"16,11,968",0,40,2.5,211.29,8.11
1,26-02-2010,"14,09,728",0,47,2.6,211.32,8.11
1,05-03-2010,"15,54,807",0,47,2.6,211.35,8.11
1,12-03-2010,"14,39,542",0,58,2.7,211.38,8.11
1,19-03-2010,"14,72,516",0,55,2.7,211.22,8.11
1,26-03-2010,"14,04,430",0,51,2.7,211.02,8.11
1,02-04-2010,"15,94,968",0,62,2.7,210.82,7.81
1,09-04-2010,"15,45,419",0,66,2.8,210.62,7.81
1,16-04-2010,"14,66,058",0,66,2.8,210.49,7.81
1,23-04-2010,"13,91,256",0,65,2.8,210.44,7.81
1,30-04-2010,"14,25,101",0,67,2.8,210.39,7.81
1,07-05-2010,"16,03,955",0,73,2.8,210.34,7.81
1,14-05-2010,"14,94,252",0,75,2.9,210.34,7.81
1,21-05-2010,"13,99,662",0,76,2.8,210.62,7.81
1,28-05-2010,"14,32,070",0,80,2.8,210.9,7.81
1,04-06-2010,"16,15,525",0,81,2.7,211.18,7.81
1,11-06-2010,"15,42,561",0,80,2.7,211.46,7.81
1,18-06-2010,"15,03,284",0,84,2.6,211.45,7.81
1,25-06-2010,"14,22,712",0,84,2.7,211.34,7.81
1,02-07-2010,"14,92,418",0,81,2.7,211.22,7.79
1,09-07-2010,"15,46,074",0,80,2.6,211.11,7.79
1,16-07-2010,"14,48,939",0,83,2.6,211.1,7.79
1,23-07-2010,"13,85,065",0,83,2.6,211.24,7.79
1,30-07-2010,"13,71,987",0,82,2.6,211.37,7.79
1,06-08-2010,"16,05,492",0,87,2.6,211.5,7.79
1,13-08-2010,"15,08,238",0,87,2.7,211.64,7.79
1,20-08-2010,"15,13,080",0,87,2.7,211.6,7.79
1,27-08-2010,"14,49,143",0,85,2.6,211.57,7.79
1,03-09-2010,"15,40,164",0,81,2.6,211.53,7.79
1,10-09-2010,"15,07,461",1,79,2.6,211.5,7.79
1,17-09-2010,"14,30,379",0,82,2.6,211.52,7.79
1,24-09-2010,"13,51,791",0,81,2.6,211.6,7.79
1,01-10-2010,"14,53,330",0,72,2.6,211.67,7.84
1,08-10-2010,"15,08,240",0,64,2.6,211.75,7.84
1,15-10-2010,"14,59,409",0,67,2.7,211.81,7.84
1,22-10-2010,"13,45,454",0,70,2.7,211.86,7.84
1,29-10-2010,"13,84,209",0,70,2.7,211.91,7.84
1,05-11-2010,"15,51,659",0,59,2.7,211.96,7.84
1,12-11-2010,"14,94,479",0,60,2.7,212,7.84
1,19-11-2010,"14,83,784",0,51,2.8,211.89,7.84
1,26-11-2010,"19,55,624",1,65,2.7,211.75,7.84
1,03-12-2010,"15,48,034",0,49,2.7,211.61,7.84
1,10-12-2010,"16,82,614",0,46,2.8,211.47,7.84
1,17-12-2010,"18,91,035",0,50,2.9,211.41,7.84
1,24-12-2010,"23,87,950",0,52,2.9,211.41,7.84
1,31-12-2010,"13,67,320",1,48,2.9,211.4,7.84
