Store,Date,Weekly_Sales,Holiday_Flag,Fuel_Price,CPI,Unemployment,Temperature_C,Year,Month_Name
1,05-02-2010,1643691,0,2.6,211.1,8.11,5.555555556,2010,February
1,12-02-2010,1641957,1,2.5,211.24,8.11,3.888888889,2010,February
1,19-02-2010,1611968,0,2.5,211.29,8.11,4.444444444,2010,February
1,26-02-2010,1409728,0,2.6,211.32,8.11,8.333333333,2010,February
1,05-03-2010,1554807,0,2.6,211.35,8.11,8.333333333,2010,March
1,12-03-2010,1439542,0,2.7,211.38,8.11,14.44444444,2010,March
1,19-03-2010,1472516,0,2.7,211.22,8.11,12.77777778,2010,March
1,26-03-2010,1404430,0,2.7,211.02,8.11,10.55555556,2010,March
1,02-04-2010,1594968,0,2.7,210.82,7.81,16.66666667,2010,April
1,09-04-2010,1545419,0,2.8,210.62,7.81,18.88888889,2010,April
1,16-04-2010,1466058,0,2.8,210.49,7.81,18.88888889,2010,April
1,23-04-2010,1391256,0,2.8,210.44,7.81,18.33333333,2010,April
1,30-04-2010,1425101,0,2.8,210.39,7.81,19.44444444,2010,April
1,07-05-2010,1603955,0,2.8,210.34,7.81,22.77777778,2010,May
1,14-05-2010,1494252,0,2.9,210.34,7.81,23.88888889,2010,May
1,21-05-2010,1399662,0,2.8,210.62,7.81,24.44444444,2010,May
1,28-05-2010,1432070,0,2.8,210.9,7.81,26.66666667,2010,May
1,04-06-2010,1615525,0,2.7,211.18,7.81,27.22222222,2010,June
1,11-06-2010,1542561,0,2.7,211.46,7.81,26.66666667,2010,June
1,18-06-2010,1503284,0,2.6,211.45,7.81,28.88888889,2010,June
1,25-06-2010,1422712,0,2.7,211.34,7.81,28.88888889,2010,June
1,02-07-2010,1492418,0,2.7,211.22,7.79,27.22222222,2010,July
1,09-07-2010,1546074,0,2.6,211.11,7.79,26.66666667,2010,July
1,16-07-2010,1448939,0,2.6,211.1,7.79,28.33333333,2010,July
1,23-07-2010,1385065,0,2.6,211.24,7.79,28.33333333,2010,July
1,30-07-2010,1371987,0,2.6,211.37,7.79,27.77777778,2010,July
1,06-08-2010,1605492,0,2.6,211.5,7.79,30.55555556,2010,August
1,13-08-2010,1508238,0,2.7,211.64,7.79,30.55555556,2010,August
1,20-08-2010,1513080,0,2.7,211.6,7.79,30.55555556,2010,August
1,27-08-2010,1449143,0,2.6,211.57,7.79,29.44444444,2010,August
1,03-09-2010,1540164,0,2.6,211.53,7.79,27.22222222,2010,September
1,10-09-2010,1507461,1,2.6,211.5,7.79,26.11111111,2010,September
1,17-09-2010,1430379,0,2.6,211.52,7.79,27.77777778,2010,September
1,24-09-2010,1351791,0,2.6,211.6,7.79,27.22222222,2010,September
1,01-10-2010,1453330,0,2.6,211.67,7.84,22.22222222,2010,October
1,08-10-2010,1508240,0,2.6,211.75,7.84,17.77777778,2010,October
1,15-10-2010,1459409,0,2.7,211.81,7.84,19.44444444,2010,October
1,22-10-2010,1345454,0,2.7,211.86,7.84,21.11111111,2010,October
1,29-10-2010,1384209,0,2.7,211.91,7.84,21.11111111,2010,October
1,05-11-2010,1551659,0,2.7,211.96,7.84,15,2010,November
1,12-11-2010,1494479,0,2.7,212,7.84,15.55555556,2010,November
1,19-11-2010,1483784,0,2.8,211.89,7.84,10.55555556,2010,November
1,26-11-2010,1955624,1,2.7,211.75,7.84,18.33333333,2010,November
1,03-12-2010,1548034,0,2.7,211.61,7.84,9.444444444,2010,December
1,10-12-2010,1682614,0,2.8,211.47,7.84,7.777777778,2010,December
1,17-12-2010,1891035,0,2.9,211.41,7.84,10,2010,December
1,24-12-2010,2387950,0,2.9,211.41,7.84,11.11111111,2010,December
1,31-12-2010,1367320,1,2.9,211.4,7.84,8.888888889,2010,December
1,07-01-2011,1444732,0,3,211.4,7.74,8.888888889,2011,January
1,14-01-2011,1391014,0,3,211.46,7.74,1.666666667,2011,January
1,21-01-2011,1327405,0,3,211.83,7.74,6.666666667,2011,January
1,28-01-2011,1316899,0,3,212.2,7.74,6.666666667,2011,January
1,04-02-2011,1606630,0,3,212.57,7.74,5.555555556,2011,February
1,11-02-2011,1649615,1,3,212.94,7.74,2.222222222,2011,February
1,18-02-2011,1686843,0,3,213.25,7.74,13.88888889,2011,February
1,25-02-2011,1456800,0,3.1,213.54,7.74,17.22222222,2011,February
1,04-03-2011,1636263,0,3.3,213.82,7.74,15.55555556,2011,March
1,11-03-2011,1553192,0,3.5,214.11,7.74,12.22222222,2011,March
1,18-03-2011,1576818,0,3.5,214.36,7.74,17.22222222,2011,March
1,25-03-2011,1541102,0,3.5,214.6,7.74,21.11111111,2011,March
1,01-04-2011,1495065,0,3.5,214.84,7.68,15,2011,April
1,08-04-2011,1614259,0,3.6,215.07,7.68,20,2011,April
1,15-04-2011,1559889,0,3.7,215.29,7.68,21.66666667,2011,April
1,22-04-2011,1564820,0,3.8,215.46,7.68,22.77777778,2011,April
1,29-04-2011,1455091,0,3.8,215.63,7.68,22.22222222,2011,April
1,06-05-2011,1629391,0,3.9,215.8,7.68,18.33333333,2011,May
1,13-05-2011,1604776,0,3.9,215.96,7.68,24.44444444,2011,May
1,20-05-2011,1428218,0,3.9,215.73,7.68,20,2011,May
1,27-05-2011,1466047,0,3.8,215.5,7.68,25.55555556,2011,May
1,03-06-2011,1635078,0,3.7,215.27,7.68,28.33333333,2011,June
1,10-06-2011,1588948,0,3.6,215.04,7.68,28.33333333,2011,June
1,17-06-2011,1532115,0,3.6,215,7.68,30,2011,June
1,24-06-2011,1438830,0,3.6,215.09,7.68,28.88888889,2011,June
1,01-07-2011,1488538,0,3.5,215.18,7.96,30,2011,July
1,08-07-2011,1534850,0,3.5,215.28,7.96,30,2011,July
1,15-07-2011,1455120,0,3.6,215.36,7.96,31.66666667,2011,July
1,22-07-2011,1396927,0,3.7,215.42,7.96,30,2011,July
1,29-07-2011,1352220,0,3.7,215.48,7.96,30.55555556,2011,July
1,05-08-2011,1624384,0,3.7,215.54,7.96,33.33333333,2011,August
1,12-08-2011,1525147,0,3.6,215.61,7.96,32.77777778,2011,August
1,19-08-2011,1530761,0,3.6,215.67,7.96,32.22222222,2011,August
1,26-08-2011,1464693,0,3.5,215.73,7.96,31.11111111,2011,August
1,02-09-2011,1550229,0,3.5,215.8,7.96,31.11111111,2011,September
1,09-09-2011,1540471,1,3.5,215.86,7.96,24.44444444,2011,September
1,16-09-2011,1514260,0,3.5,216.04,7.96,26.66666667,2011,September
1,23-09-2011,1380020,0,3.5,216.38,7.96,24.44444444,2011,September
1,30-09-2011,1394562,0,3.4,216.71,7.96,26.66666667,2011,September
1,07-10-2011,1630990,0,3.3,217.05,7.87,20.55555556,2011,October
1,14-10-2011,1493526,0,3.3,217.36,7.87,22.22222222,2011,October
1,21-10-2011,1502563,0,3.4,217.52,7.87,17.77777778,2011,October
1,28-10-2011,1445249,0,3.4,217.68,7.87,19.44444444,2011,October
1,04-11-2011,1697230,0,3.3,217.84,7.87,12.77777778,2011,November
1,11-11-2011,1594939,0,3.3,218,7.87,15,2011,November
1,18-11-2011,1539484,0,3.3,218.22,7.87,16.66666667,2011,November
1,25-11-2011,2033321,1,3.2,218.47,7.87,15.55555556,2011,November
1,02-12-2011,1584084,0,3.2,218.71,7.87,9.444444444,2011,December
1,09-12-2011,1799682,0,3.2,218.96,7.87,6.666666667,2011,December
1,16-12-2011,1881177,0,3.2,219.18,7.87,11.11111111,2011,December
1,23-12-2011,2270189,0,3.1,219.36,7.87,8.888888889,2011,December
1,30-12-2011,1497463,1,3.1,219.54,7.87,7.222222222,2011,December
1,06-01-2012,1550370,0,3.2,219.71,7.35,9.444444444,2012,January
1,13-01-2012,1459601,0,3.3,219.89,7.35,9.444444444,2012,January
1,20-01-2012,1394394,0,3.3,219.99,7.35,12.22222222,2012,January
1,27-01-2012,1319326,0,3.3,220.08,7.35,12.22222222,2012,January
1,03-02-2012,1636340,0,3.4,220.17,7.35,13.88888889,2012,February
1,10-02-2012,1802477,1,3.4,220.27,7.35,8.888888889,2012,February
1,17-02-2012,1819870,0,3.5,220.43,7.35,7.222222222,2012,February
1,24-02-2012,1539388,0,3.6,220.64,7.35,13.88888889,2012,February
1,02-03-2012,1688421,0,3.6,220.85,7.35,16.11111111,2012,March
1,09-03-2012,1675431,0,3.7,221.06,7.35,15,2012,March
1,16-03-2012,1677473,0,3.7,221.21,7.35,18.33333333,2012,March
1,23-03-2012,1511068,0,3.8,221.29,7.35,18.88888889,2012,March
1,30-03-2012,1649605,0,3.8,221.36,7.35,20,2012,March
1,06-04-2012,1899677,0,3.9,221.44,7.14,21.11111111,2012,April
1,13-04-2012,1621032,0,3.9,221.51,7.14,20.55555556,2012,April
1,20-04-2012,1521578,0,3.9,221.56,7.14,19.44444444,2012,April
1,27-04-2012,1468928,0,3.8,221.62,7.14,19.44444444,2012,April
1,04-05-2012,1684520,0,3.7,221.67,7.14,24.44444444,2012,May
1,11-05-2012,1611096,0,3.7,221.73,7.14,23.33333333,2012,May
1,18-05-2012,1595902,0,3.6,221.74,7.14,21.11111111,2012,May
1,25-05-2012,1555445,0,3.6,221.74,7.14,25,2012,May
1,01-06-2012,1624478,0,3.5,221.75,7.14,25.55555556,2012,June
1,08-06-2012,1697231,0,3.5,221.75,7.14,25.55555556,2012,June
1,15-06-2012,1630607,0,3.4,221.76,7.14,26.11111111,2012,June
1,22-06-2012,1527846,0,3.3,221.8,7.14,25.55555556,2012,June
1,29-06-2012,1540421,0,3.3,221.84,7.14,29.44444444,2012,June
1,06-07-2012,1769854,0,3.2,221.88,6.91,27.77777778,2012,July
1,13-07-2012,1527014,0,3.3,221.92,6.91,25,2012,July
1,20-07-2012,1497955,0,3.3,221.93,6.91,26.66666667,2012,July
1,27-07-2012,1439124,0,3.4,221.94,6.91,28.33333333,2012,July
1,03-08-2012,1631136,0,3.4,221.95,6.91,30,2012,August
1,10-08-2012,1592410,0,3.5,221.96,6.91,29.44444444,2012,August
1,17-08-2012,1597868,0,3.6,222.04,6.91,29.44444444,2012,August
1,24-08-2012,1494122,0,3.6,222.17,6.91,25.55555556,2012,August
1,31-08-2012,1582083,0,3.6,222.31,6.91,26.66666667,2012,August
1,07-09-2012,1661767,1,3.7,222.44,6.91,28.88888889,2012,September
1,14-09-2012,1517429,0,3.7,222.58,6.91,23.88888889,2012,September
1,21-09-2012,1506126,0,3.7,222.78,6.91,21.11111111,2012,September
1,28-09-2012,1437059,0,3.7,222.98,6.91,24.44444444,2012,September
