iter	RMSE
0	549562.9425
1	534314.3623
2	523099.9295
3	511941.8987
4	501364.1319
5	490212.0612
6	481741.8423
7	471794.267
8	462650.098
9	455007.8734
10	448776.4116
11	441637.5998
12	435120.8549
13	428752.6921
14	420702.607
15	412719.933
16	406433.7821
17	401395.8169
18	395848.2732
19	391160.528
20	386798.2716
21	382830.984
22	377147.9101
23	373622.4122
24	371263.5949
25	367509.9994
26	365045.8011
27	360579.1124
28	357596.5552
29	352509.676
30	349561.9009
31	346886.4401
32	343138.4322
33	338783.883
34	333826.3929
35	331547.3729
36	327766.7531
37	325101.9801
38	322527.7231
39	319408.2702
40	316641.2133
41	314211.0967
42	309990.9236
43	308423.8866
44	307338.8192
45	305569.5551
46	303196.0247
47	301860.0742
48	300865.7455
49	299345.5793
50	296637.7046
51	294033.3458
52	291866.014
53	288519.1409
54	285494.5075
55	282603.2339
56	280753.0969
57	278952.4543
58	277464.0212
59	274533.7123
60	273228.5141
61	271531.7062
62	269889.5469
63	268927.3038
64	267762.0357
65	264599.35
66	263586.1662
67	262438.2082
68	261033.1707
69	260385.6334
70	259764.5729
71	257900.2505
72	257301.4236
73	254620.9215
74	254055.4158
75	253155.2713
76	249323.0979
77	246702.7385
78	244919.6802
79	243422.9249
80	241540.6834
81	239428.0251
82	236223.3445
83	234595.1931
84	233316.2147
85	232018.8228
86	230718.7312
87	228219.1213
88	226420.6474
89	225380.6012
90	224726.5923
91	223070.0212
92	222262.8111
93	221016.1592
94	220017.1477
95	218918.2504
96	217777.3756
97	216585.0259
98	215864.2872
99	215022.986
100	213036.8832
101	211695.1624
102	210147.2482
103	209089.6121
104	208039.6087
105	207521.2117
106	206817.8751
107	205397.307
108	204304.7131
109	203351.1857
110	202901.1727
111	202168.9261
112	200967.2614
113	200429.3598
114	198842.4018
115	197078.4779
116	196275.6404
117	194734.6247
118	193949.0827
119	193543.4059
120	192930.6995
121	192082.8434
122	191280.4124
123	190933.0622
124	190074.9001
125	189476.1857
126	188303.4848
127	187570.2792
128	187379.5566
129	185819.987
130	185566.1175
131	184879.5068
132	183855.2233
133	183235.8949
134	182282.2135
135	180979.39
136	179824.5393
137	178751.3896
138	177464.4355
139	176902.0362
140	175928.6792
141	175202.1558
142	174483.3458
143	174013.2294
144	173365.6892
145	173079.9013
146	172291.9288
147	171560.8773
148	170934.4752
149	170513.5119
150	170282.7752
151	169542.7764
152	168877.0629
153	168313.996
154	167987.1353
155	166861.0387
156	166033.1865
157	165533.8332
158	164663.3901
159	163949.9144
160	163448.6589
161	162706.3108
162	162189.8562
163	161831.108
164	161172.1406
165	160957.2737
166	160536.4456
167	160168.7126
168	159700.8284
169	159198.7174
170	158605.9453
171	158308.5562
172	158028.0582
173	157099.6405
174	155919.6763
175	154851.5628
176	154530.9719
177	154106.8035
178	153666.493
179	152795.5156
180	152170.0454
181	151797.899
182	151083.0707
183	150408.3415
184	150008.9472
185	149719.4658
186	149493.1655
187	148856.3214
188	148331.5529
189	147865.0516
190	147413.1413
191	147106.6533
192	146473.2591
193	145977.7702
194	145556.4933
195	145260.1272
196	144609.563
197	144056.278
198	143655.6163
199	143041.4105
200	142571.0681
201	142285.6194
202	141936.1948
203	141605.8467
204	141157.6636
205	140775.7221
206	140415.1448
207	139977.7013
208	139397.6569
209	138957.6571
210	138584.8166
211	138161.6417
212	137723.5898
213	137438.9537
214	137080.8897
215	136789.5259
216	136287.7454
217	136041.1089
218	135785.8389
219	135448.822
220	135220.7975
221	134834.7822
222	134420.8102
223	134234.4088
224	133787.6912
225	133502.5308
226	133131.6208
227	132830.8695
228	132496.7344
229	132207.2913
230	131754.9146
231	131390.2249
232	130976.2236
233	130774.486
234	130525.8615
235	130115.5775
236	129768.6349
237	129566.3318
238	129280.8501
239	129004.1387
240	128833.2917
241	128477.612
242	128260.1444
243	128066.5881
244	127838.6088
245	127559.2684
246	127272.2475
247	126974.3404
248	126650.0409
249	126333.0723
250	125969.9949
251	125642.8381
252	125406.7949
253	125179.3325
254	124942.4894
255	124681.6987
256	124495.6488
257	124263.8309
258	124049.5803
259	123747.2133
260	123531.4107
261	123247.1571
262	123132.4558
263	123028.1163
264	122850.8064
265	122628.967
266	122408.1814
267	122201.4809
268	122054.8245
269	121802.0488
270	121640.8271
271	121427.8375
272	121173.899
273	121114.0051
274	120969.2778
275	120705.5756
276	120519.0736
277	120294.0201
278	120109.8442
279	119909.3298
280	119751.1042
281	119472.8496
282	119319.4685
283	119236.9903
284	119010.2009
285	118800.9096
286	118771.679
287	118618.8034
288	118427.5466
289	118313.209
290	118101.3063
291	118066.8895
292	117880.8517
293	117756.5173
294	117632.1406
295	117511.428
296	117417.2979
297	117309.503
298	117228.3141
299	117040.4594
300	116923.1787
301	116737.2871
302	116666.431
303	116490.1707
304	116305.2131
305	116153.5728
306	115903.8788
307	115684.0732
308	115542.945
309	115383.759
310	115133.5373
311	114963.9748
312	114712.7289
313	114589.0548
314	114397.2024
315	114258.9859
316	114089.6801
317	113850.9086
318	113759.1228
319	113600.7825
320	113499.0159
321	113213.7213
322	113133.7142
323	112906.1589
324	112814.5313
325	112634.3581
326	112504.2703
327	112381.4067
328	112191.0108
329	111951.0027
330	111871.2066
331	111776.7926
332	111739.2025
333	111606.9064
334	111463.7858
335	111248.6199
336	111133.552
337	110948.4502
338	110857.3673
339	110714.5614
340	110612.8159
341	110366.4087
342	110239.3219
343	110129.7903
344	109972.3518
345	109778.5184
346	109644.5087
347	109611.0747
348	109523.6412
349	109449.9048
350	109214.8128
351	109124.9897
352	108955.8029
353	108817.467
354	108728.2365
355	108619.3674
356	108563.0719
357	108468.4364
358	108280.8366
359	108221.8834
360	108028.196
361	107888.8968
362	107712.5203
363	107483.558
364	107319.1981
365	107141.4866
366	107023.8064
367	106927.4179
368	106736.1403
369	106588.5305
370	106486.1305
371	106375.1715
372	106273.9996
373	106136.3136
374	106022.9534
375	105793.491
376	105702.8888
377	105588.5216
378	105495.5035
379	105443.58
380	105382.4553
381	105271.8765
382	105170.7718
383	105054.7288
384	105018.3934
385	104812.0296
386	104598.1253
387	104487.6652
388	104396.2562
389	104332.6463
390	104176.3511
391	104104.4973
392	104043.3024
393	103902.601
394	103709.0175
395	103621.6132
396	103551.6562
397	103426.7398
398	103345.3569
399	103220.5317
400	103097.6446
401	102987.5928
402	102870.5992
403	102782.8856
404	102697.7489
405	102633.7591
406	102533.9586
407	102381.7721
408	102242.7123
409	102115.9457
410	102010.4686
411	101926.524
412	101750.4638
413	101648.7074
414	101545.1903
415	101438.9766
416	101338.542
417	101240.4987
418	101166.2045
419	101052.9363
420	100987.6988
421	100908.3512
422	100870.7617
423	100792.4637
424	100710.7475
425	100656.2145
426	100588.8098
427	100494.9456
428	100403.0446
429	100306.3165
430	100209.9059
431	100137.4286
432	100016.2018
433	99968.08965
434	99905.65018
435	99732.97127
436	99652.1114
437	99609.63466
438	99487.08567
439	99331.96446
440	99229.32928
441	99159.26904
442	99034.2526
443	98957.70691
444	98801.57526
445	98732.05998
446	98662.70722
447	98558.91268
448	98481.50922
449	98336.38622
450	98251.52286
451	98173.02026
452	98092.78283
453	98024.82562
454	97942.85152
455	97839.92118
456	97740.9315
457	97671.47187
458	97589.03548
459	97512.61281
460	97419.12389
461	97313.00158
462	97201.4465
463	97064.04596
464	96970.88253
465	96909.74194
466	96798.39486
467	96671.64233
468	96628.10031
469	96503.40611
470	96422.31527
471	96345.07851
472	96236.58202
473	96107.13286
474	95985.76489
475	95930.16994
476	95850.72922
477	95751.48663
478	95627.23835
479	95520.687
480	95461.41765
481	95360.94872
482	95299.11902
483	95170.27797
484	95115.52992
485	95092.62061
486	95023.37918
487	94955.57701
488	94867.20575
489	94737.56648
490	94651.79272
491	94578.37435
492	94476.37786
493	94381.09198
494	94332.2105
495	94254.77432
496	94159.14949
497	94092.41448
498	93985.13609
499	93940.45803
500	93874.29876
501	93813.85269
502	93761.09858
503	93672.97767
504	93600.87256
505	93540.19938
506	93488.91715
507	93415.31632
508	93360.46521
509	93301.2605
510	93221.91485
511	93159.46394
512	93104.01367
513	93053.2538
514	92969.7384
515	92846.29372
516	92795.47692
517	92677.05447
518	92576.67996
519	92511.93819
520	92459.05989
521	92373.84064
522	92321.60283
523	92239.56889
524	92155.76201
525	92087.66514
526	92021.63428
527	91950.222
528	91894.53998
529	91803.95496
530	91765.35054
531	91664.37868
532	91619.31558
533	91544.76026
534	91455.93304
535	91409.08982
536	91317.36996
537	91253.03135
538	91163.02639
539	91121.42103
540	91054.92839
541	90997.43439
542	90929.90415
543	90872.70324
544	90831.05145
545	90771.72298
546	90724.58383
547	90654.52876
548	90608.56694
549	90495.93987
550	90427.71963
551	90307.78618
552	90248.84428
553	90192.1474
554	90153.47456
555	90096.36052
556	90043.11696
557	90001.91034
558	89958.57039
559	89893.69166
560	89832.02213
561	89753.01452
562	89715.65056
563	89641.55427
564	89553.13262
565	89528.56417
566	89490.88321
567	89431.38739
568	89377.35169
569	89331.30891
570	89306.2499
571	89236.60162
572	89159.99747
573	89124.51111
574	89009.26197
575	88961.9194
576	88890.3333
577	88830.50688
578	88736.56196
579	88686.3221
580	88651.93232
581	88616.51834
582	88541.79361
583	88513.39359
584	88472.73029
585	88403.35419
