iter	Passed	Remaining
0	20	20676
1	24	12227
2	26	8942
3	29	7245
4	32	6556
5	34	5785
6	36	5214
7	39	4902
8	42	4653
9	44	4401
10	47	4291
11	49	4116
12	52	3965
13	54	3871
14	57	3753
15	59	3633
16	61	3541
17	63	3480
18	65	3403
19	67	3319
20	70	3284
21	72	3229
22	74	3167
23	76	3121
24	79	3096
25	81	3053
26	83	3018
27	86	3012
28	88	2979
29	90	2937
30	93	2911
31	95	2892
32	97	2866
33	99	2837
34	102	2828
35	104	2801
36	106	2771
37	109	2760
38	111	2744
39	113	2731
40	116	2718
41	118	2705
42	120	2680
43	122	2654
44	124	2652
45	127	2637
46	129	2619
47	131	2602
48	133	2597
49	135	2578
50	137	2558
51	139	2549
52	142	2551
53	144	2538
54	147	2526
55	149	2524
56	151	2507
57	153	2491
58	156	2492
59	158	2487
60	160	2473
61	163	2467
62	165	2461
63	167	2447
64	169	2433
65	172	2440
66	174	2436
67	177	2436
68	180	2434
69	182	2426
70	184	2418
71	188	2427
72	190	2416
73	192	2404
74	194	2401
75	196	2395
76	198	2384
77	200	2373
78	204	2384
79	206	2375
80	208	2364
81	211	2364
82	213	2356
83	215	2346
84	217	2345
85	220	2342
86	222	2333
87	224	2326
88	226	2323
89	228	2314
90	231	2307
91	233	2306
92	235	2299
93	237	2290
94	239	2284
95	242	2282
96	244	2274
97	246	2267
98	248	2265
99	251	2261
100	253	2252
101	254	2242
102	257	2242
103	259	2238
104	261	2230
105	264	2228
106	266	2224
107	268	2216
108	270	2208
109	272	2207
110	275	2203
111	277	2198
112	279	2194
113	281	2191
114	283	2185
115	285	2177
116	288	2176
117	290	2174
118	292	2167
119	295	2163
120	297	2162
121	299	2155
122	301	2148
123	304	2150
124	306	2144
125	308	2137
126	310	2133
127	312	2130
128	314	2125
129	316	2118
130	319	2120
131	321	2115
132	323	2109
133	325	2103
134	328	2102
135	329	2096
136	332	2091
137	334	2090
138	336	2086
139	338	2080
140	340	2074
141	342	2072
142	345	2067
143	347	2063
144	349	2059
145	351	2055
146	353	2052
147	355	2046
148	357	2044
149	360	2040
150	362	2038
151	365	2037
152	367	2034
153	369	2028
154	371	2022
155	373	2019
156	375	2014
157	377	2013
158	380	2010
159	383	2010
160	385	2006
161	386	2000
162	389	1999
163	391	1996
164	393	1992
165	396	1990
166	398	1986
167	400	1983
168	402	1978
169	405	1978
170	407	1975
171	409	1970
172	411	1968
173	413	1964
174	416	1961
175	418	1958
176	421	1958
177	423	1955
178	425	1951
179	427	1948
180	429	1944
181	432	1942
182	434	1940
183	437	1939
184	439	1935
185	441	1930
186	443	1929
187	446	1926
188	448	1925
189	451	1924
190	453	1920
191	455	1916
192	457	1912
193	460	1911
194	462	1907
195	464	1904
196	466	1902
197	469	1901
198	471	1897
199	473	1894
200	476	1893
201	478	1890
202	480	1888
203	483	1887
204	485	1883
205	487	1878
206	490	1879
207	493	1878
208	495	1875
209	498	1873
210	500	1871
211	502	1866
212	504	1864
213	507	1863
214	509	1860
215	511	1857
216	515	1858
217	517	1855
218	520	1857
219	525	1861
220	527	1860
221	530	1860
222	533	1858
223	535	1856
224	538	1856
225	541	1854
226	543	1852
227	546	1850
228	548	1846
229	550	1842
230	554	1844
231	556	1841
232	558	1838
233	561	1837
234	563	1835
235	566	1832
236	569	1832
237	571	1829
238	573	1825
239	576	1825
240	578	1822
241	581	1820
242	584	1819
243	586	1816
244	588	1813
245	590	1810
246	592	1807
247	595	1805
248	597	1802
249	600	1801
250	602	1798
251	605	1795
252	607	1795
253	610	1793
254	612	1789
255	615	1788
256	618	1788
257	620	1785
258	623	1783
259	625	1780
260	627	1777
261	631	1779
262	634	1777
263	636	1774
264	639	1774
265	641	1771
266	644	1770
267	648	1770
268	650	1767
269	652	1765
270	655	1763
271	657	1760
272	659	1757
273	662	1755
274	664	1752
275	667	1750
276	671	1752
277	673	1749
278	677	1751
279	680	1749
280	683	1747
281	687	1750
282	690	1748
283	693	1749
284	696	1746
285	699	1746
286	703	1746
287	705	1743
288	708	1741
289	710	1738
290	712	1735
291	715	1733
292	717	1731
293	719	1728
294	721	1725
295	724	1723
296	726	1719
297	728	1716
298	731	1713
299	733	1711
300	735	1707
301	737	1703
302	739	1701
303	741	1698
304	743	1694
305	745	1691
306	747	1688
307	750	1686
308	753	1685
309	756	1684
310	759	1681
311	761	1679
312	763	1676
313	766	1674
314	768	1671
315	771	1670
316	774	1667
317	776	1664
318	778	1661
319	780	1659
320	783	1656
321	787	1657
322	789	1654
323	791	1651
324	793	1648
325	795	1645
326	798	1643
327	800	1640
328	803	1637
329	804	1634
330	806	1630
331	808	1627
332	810	1624
333	813	1621
334	815	1619
335	817	1616
336	820	1613
337	822	1610
338	824	1607
339	826	1604
340	828	1601
341	830	1598
342	833	1596
343	835	1593
344	837	1589
345	839	1586
346	842	1586
347	845	1583
348	847	1580
349	849	1577
350	851	1574
351	853	1571
352	856	1569
353	858	1566
354	860	1562
355	862	1559
356	864	1556
357	865	1552
358	867	1549
359	870	1547
360	872	1545
361	875	1542
362	877	1539
363	879	1536
364	881	1533
365	883	1529
366	885	1527
367	887	1524
368	889	1520
369	891	1517
370	893	1514
371	895	1512
372	897	1509
373	900	1507
374	903	1505
375	905	1502
376	907	1500
377	910	1497
378	912	1494
379	914	1492
380	916	1489
381	918	1486
382	920	1483
383	922	1480
384	925	1477
385	927	1474
386	929	1472
387	931	1469
388	933	1466
389	935	1463
390	937	1460
391	943	1464
392	945	1460
393	947	1457
394	949	1454
395	951	1451
396	953	1448
397	955	1445
398	958	1443
399	959	1439
400	961	1436
401	964	1434
402	966	1431
403	968	1428
404	970	1425
405	972	1423
406	975	1421
407	977	1418
408	979	1415
409	981	1412
410	983	1409
411	985	1406
412	987	1404
413	989	1400
414	991	1397
415	993	1394
416	995	1391
417	997	1388
418	999	1385
419	1000	1382
420	1003	1379
421	1005	1376
422	1006	1373
423	1008	1370
424	1011	1367
425	1012	1364
426	1014	1361
427	1016	1358
428	1019	1356
429	1021	1353
430	1022	1350
431	1024	1347
432	1026	1344
433	1028	1341
434	1030	1338
435	1032	1335
436	1034	1333
437	1036	1330
438	1038	1327
439	1040	1324
440	1042	1321
441	1044	1318
442	1046	1315
443	1048	1312
444	1050	1310
445	1052	1307
446	1054	1303
447	1055	1300
448	1058	1298
449	1059	1295
450	1062	1292
451	1064	1290
452	1066	1287
453	1068	1284
454	1069	1281
455	1071	1278
456	1073	1276
457	1075	1273
458	1078	1271
459	1080	1268
460	1082	1266
461	1084	1263
462	1086	1260
463	1088	1257
464	1090	1254
465	1092	1252
466	1094	1249
467	1096	1246
468	1098	1244
469	1100	1241
470	1102	1238
471	1104	1235
472	1106	1233
473	1108	1230
474	1110	1227
475	1113	1225
476	1114	1222
477	1116	1219
478	1118	1216
479	1120	1214
480	1123	1212
481	1125	1209
482	1127	1206
483	1129	1203
484	1130	1200
485	1132	1197
486	1134	1194
487	1136	1192
488	1138	1189
489	1140	1187
490	1142	1184
491	1144	1181
492	1146	1179
493	1148	1176
494	1150	1173
495	1152	1171
496	1154	1168
497	1156	1165
498	1157	1162
499	1160	1160
500	1162	1157
